,dates,rating,review,title
20,2016/06/15,5,"지역에서는 예산 낭비다 뭐다해서 말이 많았는데, 만들고 보니 순천만과 함께 순천을 대표하는 곳이 된 명소입니다. 깨끗하고 상당히 넓고, 볼거리가 많아요.추천합니다. 특히 꽃피는 시기에 오셔야 더 좋아요.",좋아요
21,2016/05/13,5,고향이기도한 순천에 매번 가는일이 있어서 혼자 가곤하는데 이번에는 내려간김에 순천만 정원을 가봤다 어릴때 가보고 나서 정말이지 오랬만에 가봤는데 여전히 낙조의 모습은 아름다웠고 도심속에서 생활하며 호흡하는 공기와는 다르게 기분 좋았던 곳. 아직도 자연그대로 최대한 오염되지 않게 한다고 하는데 이게 과연 다음 세대까지라도 잘 지켜질수 있을지는 의문이지만 여수쪽으로 여행을 가는 사람이라면 한번쯤 들려보아도 후회하지 않을 곳. ,나의 고향
22,2016/05/10,4,"시기에 따라 다르겠지만~ 넓은 면적 대비 그다지 볼거리는 없네요. 걷고, 걷고, 또 걷고... 봄에는 꽃들이 많아서 사진 찍기도 좋겠지만 여름에는 쉴만한 공간도 부족해서 햇볕때문에 더운 날씨에 걷기도 힘들었습니다. ",넓은 면적에 비해서는 볼것이 없는
23,2016/05/08,5,"생태공원의 서브 격으로 조성했지만, 생태공원과 순천만정원 두곳만 둘러봐도 하루가 훌쩍 지나간다. 순천은 당일치기보단 1박하며 이곳저곳을 둘러보는게 좋은 것 같다. 너무 넓어 자전거로 돌아다니고 싶었지만 절대 안되고, 관람차를 탈까했지만 줄서서 기다리는 어르신들이 많아 걸어다녔다. 5월 연휴기간에는 사람이 많으니 다른 날 다시 와보고 싶다.",순천여행의 필수코스
24,2016/04/29,5,이곳은 순천만을 보호하기 위한 베드 시설로 제안을 했다고 한다. 도시가 확장을 해서 순천만을 망가트리는 것을 걱정한 시민들의 아이디어로 제안되어 정원이 만들어 졌다는 스토리만 들어도 감동이다. 계절마다 바뀌는 꽃을 보며 산책하면 모든 근심이 사라지는 듯 하다.,아름다운 꽃과 조경을 볼 수 있는 곳
25,2016/03/31,5,"가족과 온 무작정 여행을 순천으로 왔습니다. 순천에 이렇게 볼꺼리가 많은지 정말 몰랐네요. 아침먹고 드라마세트장, 낙성읍성을 들려야 합니다. 아침은 건봉국밥으로 할 예정입니다.",순천 국가정원
26,2016/03/07,4,대부분 저녁에 해 지는 일몰에 가보라고 하는데 일출때도 좋아요. 사람도 별로 없고 한적할 오픈시간이 제일 좋습니다.,개인적으로 노을보다 아침일출이 훨씬 좋은 곳
27,2016/03/03,3,너무 힘들게 돌아다녔었던 기억이 있네요~무진장커서 힘들었어요~ 제가 만삭이라서 그런지 몰라도 걷는게 참 힘들어요~ 각 나라마다 특색있게 꾸며놓긴 했지만요,입장료도 비싸고 너무 커요
28,2016/02/29,5,국가별로 나누어 놓아서 각 나라에 분위기를 간접적으로 체험할 수 있어 좋았습니다. 전체적으로 관리가 아주 잘 되어있어 깨끗하고 공기도 좋은거 같았습니다.,이쁜정원
29,2016/02/11,5,정원이 엄청나게 넓어요. 순천만 엑스포 시즌이 지나고도 방문객들도 많고 또 정원관리팀들이 관리도 잘 하고 있는지 항상 깔끔한 모습 그대로였어요.걸어다니기에 길도 넓고 조경시설이 잘 되어있어서 유모차나 어린 아기들 걷기에도 좋습니다. 사진찍기에도 좋아요. 공원 여기저기에 아이디어 넘치는 조형물들이 있어서 감상하는 재미도 쏠쏠합니다. 순천이 점점 발전하는 모습 좋습니다.순천만생태공원과 같이 또 다시 방문하고 싶은 곳이지요.,정원이 커서 여유롭게 둘러봐야 하는 곳.
30,2016/02/05,5,"조경 예술이 정말 아름답습니다. 특히 연못과 나선형 언덕들의 풍경이 이색적이고 멋졌습니다. 공원 곳곳에 국가별 정원이 있는데, 실망스러운 곳도 있습니다.정원이 매우 넓으니 전부 보려고 욕심내지 말고 중점적으로 보고 싶은 곳을 중심으로 여유롭게 관람하시길 추천합니다.공원 내부를 도는 관람용 열차? 버스?가 다니는데, 중간중간 내리고 다시 탈 수 있는 구조가 아닙니다. 쭉 탄 채로 봅니다. ",조경이 정말 아름답습니다.
31,2016/01/25,3,시간이 없어서 쫓기듯 보고 나온게 아쉽습니다. 자연경관을 좋아하는터라 기대했던 것보단 별로였지만 확실히 사진을 찍기에는 좋은 곳이에요!,사진 찍기 좋은곳
32,2016/01/15,5,국가별 정원을 특색있고 그나라만의 정원을 잘 표현해서 좋았어요 사진찍을 곳도 많구요 무엇보다 동문 근처에 우뚝 서있는 정원에서 사진찍으면 매우 예쁘답니다,엄청난크기의 순천만정원
33,2015/12/30,5,예상보다 매우 넓었고 가을에 방문하여 다양한 꽃들을 볼수 있었습니다.특히 한달동안 진행되던 '한평정원'이라는 주제의 전시가 아기자기하고 예뻤습니다.나라별 정원들은 특색이 잘 나타나서 좋았습니다.쉼터도 많지만 꽤 넓은 공간이다 보니 해를 계속 받기 때문에 한여름에는 더위에 꼭 대비해야 할것 같습니다.,볼거리가 많아서 남녀노소 다 좋아할만 한 곳
34,2015/12/29,5,따뜻할 떄 가지 않아서 식물들이 다 죽어있었지만 ㅠㅠ그래도 그 규모면에서나 전시 내용 면에서나 최고네요.나중에 봄이나 여름에 다시 한 번 방문하고 싶습니다.,최고최고
35,2015/12/19,4,옛날 논이 있던 자리를 재정비해서 여러나라의 정원들을 꾸려놓았습니다.순천 구경가면 순천만생태공원 다녀온후 순천만 정원다녀가는 코스로 짜면 하루구경거리가 됩니다.,관광지가 잘 정돈되어 있어 구경하기 편해요
36,2015/11/06,5,순천만 정원 박람회를 할 때 가보았다. 여름에 가니 여러 꽃들이 많아서 좋았다. 세계의 많은 정원들을 간접적으로 볼 수 있었다. 실제로 그 나라에 가서 정원을 보았던 적이 있는데 축소판이지만 비슷하게 꾸며놓았다는 것을 알 수 있었다. 추천할 만 하다.,볼 거리가 많다.
37,2015/10/23,5,멋진 곳!! 넘 잘되어있고 좋더라구요~ 서울에서 여행간건데 순천 오길 잘했다는 생각이 들었습니다,넘 잘되어있어요~
38,2015/10/23,5,"세계 각국의 정원을 축소해놓은곳이라 대리만족을 할수 있습니다. 남성분 보단 여성분들께서 좀 더 만족을 느끼실수 있고시간소요가 긴 편이니, 짧게 둘러보시는것 보단 긴 시간을 투자해보시는게 좋을것 같아요,",세계정원의 축소판
39,2015/10/09,5,지인들이 놀러오면 꼭 추천하는 곳입니다. 계절별로 다 아름답고 운치가 있어 좋습니다. 전망대에 올라가는 것을 추천합니다.,풍경
40,2015/10/01,4,순천만은 예전부터 생태의 보고로 유명했습니다. 순천만정원박람회 개최를 계기로 현재 국가정원 1호로 등록되어 있어요. 정원에는 다양한 나라들의 다양한 정원들과 정돈된 자연미를 느낄 수 있는 곳입니다. 그리고 전망대에 올라가서 바라보는 순천만의 노을은 정말 멋있어요!,국가정원1호 순천만 정원
41,2015/09/30,5,국제정원박람회가 열린 후 순천만정원으로 바뀌어 변함없이 볼거리가 계속 이어지고 있습니다. 우리나라 국가정원 1호라고 합니다. 한번쯤은 꼭 가볼만한 정원의 명소입니다. 그리고 순천만 생태공원과 입장료를 같이 끊어 둘러보시면 참 좋을 것 같습니다.,순천만정원
42,2015/09/09,3,대한민국 도시농업 박람회라서 기대했는데 정원박람회가 메인이라서 조금 아쉬웠네요~ 그래도 순천의 대표는 정원이니깐 언제 방문을해도 너무 좋아요~ 특히 가을하늘 높은때 지금의 정원은 기가 막힙니다~^^,도시농업박람회와 함께 정원을 둘러봄
43,2015/09/06,5,국내 1호 정원 축하드려요 ㅋㅋ 순천은 처음 가봤는데 사람들도 너무 친절하고 솔직히 편견이 있었는데 좋았어요... 경상도 분들도 계셨는데 거기서 대학 다닌다고.. 근데 순천 사람들 너무 착하고 좋대요 ㅋㅋ 각국의 정원도 예쁘고 특히 순천을 형상화해놓은 6개의 봉우리들도 예쁘고... 꼭 ㄱㅏ보세요! 단 여름엔 그늘이 거의 없으므로 좀 비추,너무너무 아름다운 정원
44,2015/09/05,5,"순천 갈대밭은 다들유명해서 아실것 같고, 갈대밭 에서 더 가시면용산전망대가 있습니다. 이곳에 꼭 들려서 전망대 위 만을 여유있게 보고오시길 추천합니다. 날씨는 봄 가을이 제격이구요겨울에 가면 생태습지에 눈쌓여서 이쁘고 가을에 오면 하늘거리는 갈대가 너무 아름답습니다. 단 1월이나 2월에는갈대를 정리하는 시즌이오니 주의!!","언제가도 아름다운 곳,"
45,2015/09/02,5,"한국에서 가장 멋진 가든...전부 다 둘러보기엔 하루가 걸릴만큼 넓고 다채로운 광경특히 각나라별 정원, 호수위의 인공언덕 등이 매우 특이한 경험",죽기전에 가볼만한 관광지
46,2015/08/14,5,몇번을 가도 항상 좋은 기억으로 남는 곳걷기 좋아 하는 사람들에게 물과 갈대와 작은 산과 맛있는 요쿠르트를 파는 휴계소까지 갇추어진 완벽한 곳,그리운 순천만 정원
47,2015/05/31,5,너무 예쁘고 넓고 볼것도 많고.. 도시락 싸가서 먹으면 최고입니다. 갈대가 촤르르륵 넓게 퍼져있는데 진짜 그 광경은 b,최고
48,2017/02/04,5,산책하기 좋은 장소. 하루 종일 걸려서 할 수 있는 거대한 정원 이다. 다양한 종류의 정원이 다른 나라에서 다른 개념. 되어 있는 사진이 좋은 곳입니다. 개인적으로 가장 봄에 방문. 여름은 너무 더울 수 있지만 걸어서 갈 수 있는 대규모 sun 또는 나무 우산이 있어서.,전라남도의 보석
49,2016/11/15,5,"내 아내와 나는 아주 즐거운 시간을 다니지 비활성이든. 다양한 국가에서 다른 디스플레이 도 좋았고, 우리는 함께 좋아 예술, 조경, 식물들. 우리는 거의 하지 않고 실제 skycube wetlands, 하는 것이 후회하지 않았다. 그들은 매우 아름다운 시간이 좀 더 있기 원하는 길이 산책로 (간 장애가 되지 않았다, 하지 않든). 할 가치가 있는 가격으로 입장.",이러한 자연 환경 구축
50,2016/10/28,4,"또한 걸어갈 수 있는 필드인 리즈, 이것은 또는 wetlands 생태공원. 알고 있는 이 곳은 전기, 전기 기둥 들도 다시 이동할 수 있는 282 야생동물 보호. 그것은, 내가 되게 원하지 않는 지역 이 더 어두워지고 때 돌아다니다.",긴 산책
51,2016/10/02,5,이 곳에서 세계의 다른 정원을 보여줍니다. 아주 아름다운 곳입니다. 걸어서 갈 수 있는 모든 할 수 있고 또는 다른 정원은 공원을 가로지르는 투어 셔틀 견연사.,전 세계 전징후 공원
52,2016/05/28,3,"붐비는 곳이 길을 걸어 다니며 보고 관목 trrees; 저는 태평양 연안에서 나는 내 주변의 아름다움을 그린 다음 natrual, 심지어는 집 이고 관광 위치",시간 낭비
53,2016/02/24,5,"이는 국립 정원 에 지정된 2015.9.5
실행중인 사람 팬이라면, 여기에 보면.
비용 절감 단일 입구 정원 4000won, 생태공원 비용을 7000won, 공동 티켓 만 구입에 있어서 가장 8000won.
순천 역에서 기차, 버스를 타고 #66, 금방 갈 수 있고, 약 10mins.
다양한 테마 정원, 산책을 하고 있는...더 보기",넓고 조용함
54,2015/09/16,5,"생각보다 크고 정원도 예뻐! 정말 좋은 사진이 나와서 꽃이 잘 유지되어 있어 정말. 하지만, 보다 많은 시간을 방문 할 수가 정말 큰 매력이 모두 그림을 감상할 수는 생각했던 것보다 많은 시간이 소요될 수 있습니다. 약 3시간 관리를 하지 않고 있었지만 기커버 의 국가를 테마로 한...더 보기",사진 찍기 좋은 곳
55,2015/07/13,5,"가장 좋았던 점은 프렌치 가든에, 참 쉽다. 저는 항상 마음의 정원 디자인, 정자 등이 있었고! 저와 엄마는 독일 정원과 실내 정원 외에 프랑스 가 방문 한 시간을 버틸 수 있기 때문에, 다른 한 정원은 아니예요. 독일 정원이 잘 하지 않는 것도 모르는 관계 이 전체적으로...더 보기",좋아하든!
56,2015/06/08,4,"아주 큰 공원은, 이 곳에 두 번째 방문이었지만 나는 상쾌한 느낌.
즐길 수 있는 공간과 화장실 합들... 사랑스러운 장소를 방문할 경우 자연을 사랑합니다.
다른 테마 파크는 너무! 흥미로운 방문","일 년에, 계속 매력적 장입장치"
57,2015/05/08,5,"주말 동안 이곳에 나의 가족. 예정 시간 4시간 정도에 묵게 되었습니다. 아름다운 공원이 잘 되어 있었습니다. 작은 것들에 많은 관심이 계속 어린 아이들이 (식물 성장한 모양의 거대한 물고기, 코끼리 로 만들어져 메쉬 대괄호), , 등). 이 공원은 다시 전용의 고전적인 정원에서 했는데 아주 흥미로운 세계의...더 보기",아름다운 공원
58,2014/12/14,4,"꼭 사랑이 여름, 그래도 겨울에는 시간 걸릴 수 있습니다. 그냥 사진만 찍고 산책하기 좋고. 티켓에는 베 당일.","아름다운, 심지어 겨울 "
